Comm_name,t_switch,t_target,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_481,10.949997930441356,11.105312773121247,10.19037687562217,9,3,3.568838113581813,3.568838113581812,FALSE,FALSE
comm_482,8.657554957256878,8.549069311813485,5.412757862,8,5,10.994287846302804,10.994287846302807,FALSE,FALSE
comm_483,8.149851988965313,8.157869594637663,3.860483174385898,12,5,14.075600031101931,14.07560003110193,FALSE,FALSE
comm_484,11.581127425487415,11.525213510499142,12.830726542257933,12,2,2.9498106934018398,2.949810693401841,FALSE,FALSE
comm_485,9.768215309873128,9.77104809,9.227506338695106,11,3,10.217312034337901,10.217312034337906,FALSE,FALSE
comm_486,9.095154315990117,9.1148081,3.7907837607242927,12,2,0.9038856583123168,0.9038856583123168,FALSE,FALSE
comm_487,9.498559738705076,9.552449612962935,6.35171978,8,2,11.018776552805406,11.018776552805411,FALSE,FALSE
comm_488,9.404930313899817,9.275763644,4.768119060499758,8,4,4.029194493238852,4.029194493238852,FALSE,FALSE
comm_489,12.006600178039317,12.022291124021764,15.247343977077824,9,5,18.119523410610384,18.119523410610395,FALSE,FALSE
comm_490,9.671098502610901,9.479037107483801,5.730495967,9,3,5.260310308,5.260310308,FALSE,FALSE
comm_491,9.424145802155449,9.375126107848924,3.8562466451472504,9,5,4.833535964588375,4.833535964588375,FALSE,FALSE
comm_492,12.69963807841017,12.707534990622761,29.379584162540723,11,4,11.386419504925662,11.386419504925662,FALSE,FALSE
comm_493,8.940710890051218,9.129918576742506,8.234692245074429,9,3,8.387633501,8.387633501102925,FALSE,FALSE
comm_494,10.974270679380888,10.807219000436753,9.151534506,9,2,3.203440781701931,3.203440782,FALSE,FALSE
comm_495,8.985371760111299,8.928234605610276,6.094195366764634,9,2,2.4194251644216997,2.4194251644216993,FALSE,FALSE
comm_496,8.478943154328247,8.348794539738872,5.248413172527712,12,5,2.814101154952869,2.8141011549528696,FALSE,FALSE
comm_497,12.016591141803083,11.876527125440315,13.09285873395532,11,4,10.068184284838676,10.068184284838674,FALSE,FALSE
comm_498,10.452084898762953,10.44293498804883,9.985738898,9,2,1.4792816419109855,1.4792816419109855,FALSE,FALSE
comm_499,11.061657648702925,11.063440484494219,13.44138786430671,11,4,11.940817068700747,11.940817068700754,FALSE,FALSE
comm_500,9.579561901990086,9.326806818697635,5.034026266856735,8,5,4.757249627111675,4.7572496271116735,FALSE,FALSE
comm_501,10.331353273581652,10.43463494211008,18.713571199124175,10,3,10.739969609194995,10.73996961,FALSE,FALSE
comm_502,7.966893342830252,7.976264606,1.591967850344451,9,3,1.2741144948116796,1.2741144948116794,FALSE,FALSE
comm_503,9.64847703,9.877839207838399,5.0706806936532205,12,4,6.531033441,6.531033441363969,FALSE,FALSE
