Comm_name,t_switch,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_61,10.136419987828706,3.0504614665246166,8,4,3.1520052855150382,3.1520052855150382,FALSE,FALSE
comm_62,9.179224076879184,3.0504614665246166,11,3,6.646797453935536,6.646797453935537,FALSE,FALSE
comm_63,9.998475725747335,3.0504614665246166,8,4,3.3573636042089645,3.357363604208965,FALSE,FALSE
comm_64,10.760437769948382,3.0504614665246166,10,4,4.405743851,4.405743850887199,FALSE,FALSE
comm_65,11.258459422314688,3.0504614665246166,11,4,3.5468614061758172,3.5468614061758172,FALSE,FALSE
comm_66,10.60858083,3.0504614665246166,8,5,5.688603623794097,5.688603623794097,FALSE,FALSE
comm_67,9.937007907673076,3.0504614665246166,12,5,2.776584403085212,2.776584403085212,FALSE,FALSE
comm_68,10.931447180930352,3.0504614665246166,9,4,2.337420474,2.3374204742070006,FALSE,FALSE
comm_69,10.46520264437652,3.0504614665246166,9,5,3.968647583046822,3.968647583046822,FALSE,FALSE
comm_70,10.682839819707182,3.0504614665246166,9,4,4.921919301409434,4.921919301409434,FALSE,FALSE
comm_71,9.932559033340947,3.0504614665246166,9,3,3.708118982554359,3.708118983,FALSE,FALSE
comm_72,8.858365467703106,3.0504614665246166,11,4,3.4513465726450296,3.451346573,FALSE,FALSE
comm_73,9.057642298082923,3.0504614665246166,12,5,7.655380710676722,7.655380710676722,FALSE,FALSE
comm_74,8.784449864983573,3.0504614665246166,8,4,4.126049719878115,4.126049719878115,FALSE,FALSE
comm_75,10.52201963,3.0504614665246166,10,6,4.112471226495341,4.112471226495341,FALSE,FALSE
comm_76,10.429350335844742,3.0504614665246166,10,4,5.433559704,5.433559704,FALSE,FALSE
comm_77,9.708403237,3.0504614665246166,10,5,6.159264507,6.159264507,FALSE,FALSE
comm_78,10.99688498959212,3.0504614665246166,12,7,6.2830945910330565,6.283094591033057,FALSE,FALSE
comm_79,9.218188197,3.0504614665246166,11,3,1.7001306835458811,1.7001306835458811,FALSE,FALSE
comm_80,10.125644930312568,3.0504614665246166,11,4,6.719295936193531,6.7192959361935305,FALSE,FALSE
comm_81,11.85911883284775,3.0504614665246166,8,3,2.065762069756749,2.0657620697567487,FALSE,FALSE
comm_82,11.50439005455824,3.0504614665246166,10,4,2.766282697286294,2.7662826972862944,FALSE,FALSE
comm_83,9.940059433629376,3.0504614665246166,9,4,1.1364071820067672,1.1364071820067672,FALSE,FALSE
comm_84,10.448747513310536,3.0504614665246166,10,4,2.8258007477119755,2.8258007477119755,FALSE,FALSE
comm_85,9.916859523459754,3.0504614665246166,12,2,1.0377836744759747,1.0377836744759743,FALSE,FALSE
comm_86,9.405738251195364,3.0504614665246166,9,4,6.913581945393041,6.913581945393042,FALSE,FALSE
comm_87,10.491907182133026,3.0504614665246166,9,3,5.732863274579058,5.732863274579059,FALSE,FALSE
comm_88,11.22992074855194,3.0504614665246166,10,3,2.9612947066378195,2.961294706637819,FALSE,FALSE
comm_89,9.698370494,3.0504614665246166,10,3,1.3453446537769316,1.3453446537769318,FALSE,FALSE
comm_90,8.946679056564872,3.0504614665246166,10,3,3.2706327427612925,3.2706327427612925,FALSE,FALSE
